Round Number,Day of the game,Date of the game,Time of the game,First team name,First team score,First team win status,Second team name,Second team score,Game location,Stadium Attendees
7,Sunday,9 October,3:10 pm,Melbourne,73,def.,Western Bulldogs,9,Casey Fields,2154
7,Sunday,9 October,5:10 pm,Collingwood,46,def.,Greater Western Sydney,14,Victoria Park,1663
8,Friday,14 October,6:30 pm,Carlton,34,def. by,Richmond,44,Ikon Park,1919
8,Friday,14 October,7:30 pm,Brisbane,53,def.,Adelaide,31,Metricon Stadium,1233
8,Saturday,15 October,12:40 pm,Port Adelaide,29,def. by,North Melbourne,54,Alberton Oval,2818
8,Saturday,15 October,3:10 pm,Essendon,48,def.,Sydney,44,Ikon Park,2658
8,Saturday,15 October,5:40 pm,Geelong,34,def.,West Coast,25,Ikon Park,1085
8,Saturday,15 October,6:40 pm,Gold Coast,9,def. by,Melbourne,58,Metricon Stadium,1004
8,Sunday,16 October,1:10 pm,Western Bulldogs,35,def.,St Kilda,20,Mars Stadium,1714
8,Sunday,16 October,3:10 pm,Greater Western Sydney,34,def.,Hawthorn,33,Henson Park,2006
8,Sunday,16 October,2:10 pm,Fremantle,3,def. by,Collingwood,32,Fremantle Community Bank Oval,2117
9,Friday,21 October,5:10 pm,Adelaide,30,def.,Geelong,28,Wigan Oval,2573
9,Friday,21 October,6:40 pm,Gold Coast,42,def.,Carlton,15,Metricon Stadium,683
9,Saturday,22 October,1:10 pm,Collingwood,25,def. by,North Melbourne,57,Victoria Park,1504
9,Saturday,22 October,3:10 pm,Sydney,28,def. by,Fremantle,42,Henson Park,2577
9,Saturday,22 October,2:10 pm,West Coast,23,def. by,Western Bulldogs,55,Mineral Resources Park,1102
9,Saturday,22 October,7:10 pm,Hawthorn,7,def. by,Brisbane,61,SkyBus Stadium,2164
9,Sunday,23 October,1:10 pm,St Kilda,35,def.,Port Adelaide,33,RSEA Park,1514
9,Sunday,23 October,3:10 pm,Richmond,58,def.,Greater Western Sydney,15,Mildura Sporting Precinct,2359
9,Sunday,23 October,5:10 pm,Melbourne,50,def.,Essendon,9,Casey Fields,1518
10,Friday,28 October,6:10 pm,Carlton,31,def. by,Western Bulldogs,34,Ikon Park,1193
10,Friday,28 October,7:10 pm,Brisbane,55,def.,Collingwood,10,Metricon Stadium,1180
10,Saturday,29 October,1:10 pm,Melbourne,79,def.,West Coast,1,Casey Fields,726
10,Saturday,29 October,3:10 pm,St Kilda,13,def. by,Adelaide,29,RSEA Park,1167
10,Saturday,29 October,5:10 pm,Geelong,102,def.,Sydney,27,GMHBA Stadium,2084
10,Saturday,29 October,4:10 pm,Fremantle,49,def.,Hawthorn,44,Fremantle Community Bank Oval,1302
10,Sunday,30 October,12:40 pm,Port Adelaide,10,def. by,Essendon,37,Alberton Oval,2096
10,Sunday,30 October,3:10 pm,North Melbourne,27,drew with,Richmond,27,Arden Street Oval,3147
10,Sunday,30 October,5:10 pm,Greater Western Sydney,44,def.,Gold Coast,32,Henson Park,1491
Second qualifying final,Friday,4 November,7:10 pm,Melbourne,48,def.,Adelaide,27,Ikon Park,2555
First qualifying final,Saturday,5 November,3:10 pm,Brisbane,39,def.,Richmond,22,Metricon Stadium,2392
First elimination final,Saturday,5 November,7:10 pm,Geelong,14,def. by,North Melbourne,16,GMHBA Stadium,4338
Second elimination final,Sunday,6 November,3:10 pm,Collingwood,40,def.,Western Bulldogs,35,Victoria Park,4823
First semi-final,Saturday,12 November,1:40 pm,Richmond,38,def. by,North Melbourne,74,Swinburne Centre,2439
Second semi-final,Saturday,12 November,3:40 pm,Adelaide,23,def.,Collingwood,11,Wigan Oval,2476
First preliminary final,Friday,18 November,6:40 pm,Brisbane,46,def.,Adelaide,23,Metricon Stadium,2553
Second preliminary final,Saturday,19 November,3:10 pm,Melbourne,33,def.,North Melbourne,16,Ikon Park,5592
Grand final,Sunday,27 November,1:40 pm,Brisbane,15,def. by,Melbourne,19,Brighton Homes Arena,7412
